pair_id,trajectory_state_index,stage,manipulation_critical,clean_disagreement,perturbed_disagreement,disagreement_delta,perturbed_over_clean_ratio,counterexample,eef_object_distance_m,object_lift_height_m,object_target_xy_distance_m,clean_visible_pixels_mean,perturbed_visible_pixels_mean,visibility_gain_fraction,clean_min_visibility_view,largest_visibility_gain_view,largest_rgb_change_view,clean_max_action_disagreement_view,perturbed_max_action_disagreement_view,largest_matched_action_response_view,rgb_change_fraction_mean,rgb_pixel_fraction_change_over_10_mean
16,29,far_approach,False,0.1978311389684677,0.1521708369255066,-0.04566030204296112,0.7691955761815691,True,0.19236591748737528,0.0,0.11693424394333343,695.6,738.0,0.06095457159286943,yaw_m030,yaw_m030,nominal,yaw_p030,yaw_p030,yaw_m030,0.0038855100145526963,0.01510009765625
17,30,far_approach,False,0.18856428563594818,0.16880138218402863,-0.019762903451919556,0.8951927541036333,True,0.1816599657887085,0.0,0.11693424394333343,675.6,734.8,0.08762581409117809,yaw_m030,yaw_m030,nominal,yaw_p030,nominal,yaw_m015,0.0038326368144914217,0.01485595703125
18,31,far_approach,False,0.24961012601852417,0.16026489436626434,-0.08934523165225983,0.6420608687740925,True,0.1702063256671597,0.0,0.11693424394333343,659.6,734.2,0.11309884778653734,yaw_m030,yaw_m030,nominal,nominal,nominal,nominal,0.0037786865234375002,0.0146514892578125
19,32,far_approach,False,0.31288498640060425,0.1538093239068985,-0.15907566249370575,0.4915842261282802,True,0.1581210739601439,0.0,0.11693424394333343,648.2,734.8,0.1336007405121875,yaw_m030,yaw_m030,nominal,nominal,yaw_p030,nominal,0.003722127278645833,0.0143951416015625
20,34,far_approach,False,0.37646666169166565,0.30093467235565186,-0.0755319893360138,0.7993660607379993,True,0.1324441853910967,0.0,0.11693424394333343,603.0,728.4,0.2079601990049751,yaw_m030,yaw_m030,nominal,nominal,nominal,yaw_m030,0.0035677083333333333,0.013800048828125
21,35,far_approach,False,0.387053519487381,0.3317285478115082,-0.0553249716758728,0.8570611843314435,True,0.11904635993561145,0.0,0.11693424394333343,572.4,721.8,0.26100628930817615,yaw_m030,yaw_m030,nominal,nominal,nominal,yaw_m030,0.003477675494025735,0.0133636474609375
24,39,close_approach,True,0.2635343372821808,0.1845230907201767,-0.07901124656200409,0.7001861412943605,True,0.06767873953620865,0.0,0.11693424394333343,434.2,680.6,0.567480423767849,yaw_m030,nominal,nominal,yaw_m015,nominal,nominal,0.003035098805147059,0.011407470703125
45,66,place_alignment,False,0.11650650203227997,0.10689716041088104,-0.009609341621398926,0.9175209842044996,True,0.048933937629551186,0.09329292798384847,0.046184740355267054,546.0,883.8,0.6186813186813187,yaw_m030,nominal,nominal,nominal,yaw_m030,yaw_m030,0.0039793844784007356,0.0139312744140625
46,67,place_alignment,False,0.12957395613193512,0.09337585419416428,-0.036198101937770844,0.7206375183843803,True,0.049144397203577876,0.0931599564751987,0.03718654639589504,542.4,888.6,0.638274336283186,yaw_m030,yaw_p030,nominal,nominal,nominal,nominal,0.004030893363204656,0.0140045166015625
47,69,place_alignment,False,0.17080318927764893,0.09026116132736206,-0.08054202795028687,0.5284512643416637,True,0.049529556584087704,0.08780913118952594,0.017932333083904933,545.2,901.6,0.6537050623624356,yaw_m030,nominal,nominal,nominal,nominal,nominal,0.004092311485140931,0.0142547607421875
48,70,place_alignment,False,0.13178695738315582,0.0951925739645958,-0.03659438341856003,0.7223216610717709,True,0.04961901035332704,0.08222891122506637,0.010040416319743659,548.2,913.8,0.66690988690259,yaw_m030,nominal,nominal,nominal,nominal,nominal,0.004141965379901961,0.0144989013671875
