pair_id,trajectory_state_index,variant,first_action_mean_pairwise_l2,first_action_max_pairwise_l2,exec10_mean_pairwise_l2,exec10_max_pairwise_l2,exec10_centroid_rmse,exec10_arm_mean_pairwise_l2,exec10_gripper_mean_pairwise_abs,full50_mean_pairwise_l2,full50_max_pairwise_l2,exec10_dim0_mean_pairwise_abs,exec10_dim1_mean_pairwise_abs,exec10_dim2_mean_pairwise_abs,exec10_dim3_mean_pairwise_abs,exec10_dim4_mean_pairwise_abs,exec10_dim5_mean_pairwise_abs,exec10_dim6_mean_pairwise_abs
0,8,clean,0.09237474203109741,0.13631029427051544,0.12628859281539917,0.48675963282585144,0.037317320704460144,0.12615390121936798,0.0038678490091115236,0.21817849576473236,2.1074283123016357,0.028252320364117622,0.06347420811653137,0.0881999284029007,0.01637737639248371,0.00791091937571764,0.0007514719036407769,0.0038678490091115236
0,8,perturbed,0.07546460628509521,0.12658944725990295,0.10142527520656586,0.34904617071151733,0.028041133657097816,0.10128694772720337,0.0038288331124931574,0.22370189428329468,2.0579864978790283,0.028659261763095856,0.06202198937535286,0.054516855627298355,0.016577990725636482,0.002461463212966919,0.0006172215798869729,0.0038288331124931574
1,9,clean,0.08144477009773254,0.1238967776298523,0.13095957040786743,0.5169250965118408,0.04049338027834892,0.13083238899707794,0.0034163761883974075,0.2029583901166916,2.04622745513916,0.03672906011343002,0.0709000900387764,0.08802860230207443,0.011745023541152477,0.009467493742704391,0.0008099546539597213,0.0034163761883974075
1,9,perturbed,0.07424505054950714,0.12221629917621613,0.11060874164104462,0.4409726560115814,0.03318585455417633,0.11048545688390732,0.00352633954025805,0.22253170609474182,2.0501291751861572,0.026704449206590652,0.07465382665395737,0.05776490643620491,0.012312539853155613,0.0020296720322221518,0.000727135397028178,0.00352633954025805
2,10,clean,0.0850297063589096,0.12918783724308014,0.14244356751441956,0.49223026633262634,0.04255760833621025,0.14236508309841156,0.003163847839459777,0.15944978594779968,1.9988749027252197,0.0519280731678009,0.07645083218812943,0.08494758605957031,0.011442882940173149,0.012560219503939152,0.0012255458859726787,0.003163847839459777
2,10,perturbed,0.08523310720920563,0.14149309694766998,0.12148591876029968,0.4660450220108032,0.036822643131017685,0.12135471403598785,0.0036806142888963223,0.2136448621749878,2.0433712005615234,0.029628951102495193,0.08381035178899765,0.06454012542963028,0.012202565558254719,0.0018664784729480743,0.0007806688081473112,0.0036806142888963223
3,12,clean,0.07321181148290634,0.11802385002374649,0.1463526487350464,0.4806205928325653,0.04186190664768219,0.14628928899765015,0.0031871413812041283,0.15829290449619293,1.9977315664291382,0.06361616402864456,0.06867476552724838,0.08097653090953827,0.010465728119015694,0.015412301756441593,0.002698295982554555,0.0031871413812041283
3,12,perturbed,0.0848967656493187,0.14047428965568542,0.15028852224349976,0.4582329988479614,0.0444941371679306,0.15022967755794525,0.003007190302014351,0.19513265788555145,2.004002571105957,0.050865910947322845,0.08905769139528275,0.08621811866760254,0.01197229977697134,0.008113974705338478,0.0008871611789800227,0.003007190302014351
4,13,clean,0.06797371804714203,0.10972069203853607,0.14352667331695557,0.4040991961956024,0.04010457918047905,0.1434774249792099,0.0029295682907104492,0.13147267699241638,1.9802448749542236,0.05823753774166107,0.07016371935606003,0.07962269335985184,0.010527716018259525,0.017338553443551064,0.003258822485804558,0.0029295682907104492
4,13,perturbed,0.0807451456785202,0.13342782855033875,0.1626981794834137,0.456888884305954,0.04719807207584381,0.16262935101985931,0.003531750524416566,0.18452508747577667,2.0053529739379883,0.06467854231595993,0.087225541472435,0.08764351159334183,0.012105950154364109,0.011850345879793167,0.0016289990162476897,0.003531750524416566
5,14,clean,0.06689175218343735,0.11006450653076172,0.1427798867225647,0.3835200071334839,0.03959396108984947,0.14272545278072357,0.0031675875652581453,0.10429444164037704,0.3835200071334839,0.05637552589178085,0.0721849799156189,0.07888218760490417,0.010678044520318508,0.017975468188524246,0.003743769833818078,0.0031675875652581453
5,14,perturbed,0.07567132264375687,0.12778162956237793,0.15966662764549255,0.40392735600471497,0.04493379965424538,0.15960603952407837,0.0035771261900663376,0.1496615707874298,1.987574815750122,0.06830523908138275,0.08357357233762741,0.07965529710054398,0.013576571829617023,0.012127802707254887,0.002023516921326518,0.0035771261900663376
6,16,clean,0.10465673357248306,0.1962921917438507,0.17229577898979187,0.43320900201797485,0.046106040477752686,0.17224910855293274,0.003090496174991131,0.165765643119812,1.979353904724121,0.07932973653078079,0.07972479611635208,0.09003189206123352,0.011521135456860065,0.02256379835307598,0.005112201441079378,0.003090496174991131
6,16,perturbed,0.08488617092370987,0.16846098005771637,0.17391091585159302,0.44839203357696533,0.047223079949617386,0.17386870086193085,0.0029661559965461493,0.11943406611680984,0.44839203357696533,0.07765255123376846,0.0856563001871109,0.09221217781305313,0.014337095431983471,0.015237361192703247,0.0040747178718447685,0.0029661559965461493
7,17,clean,0.1617092490196228,0.2979714274406433,0.17823389172554016,0.510918378829956,0.04874208942055702,0.17819654941558838,0.0025779830757528543,0.179866760969162,1.9894177913665771,0.09048005193471909,0.06657633185386658,0.09731770306825638,0.011455247178673744,0.026722609996795654,0.006432666908949614,0.0025779830757528543
7,17,perturbed,0.07663874328136444,0.13512171804904938,0.16555100679397583,0.4880492091178894,0.04523833841085434,0.16550788283348083,0.003104714211076498,0.13167265057563782,1.9712791442871094,0.07815617322921753,0.06227704882621765,0.0981118232011795,0.013255041092634201,0.01629038155078888,0.004941693972796202,0.003104714211076498
8,18,clean,0.20096147060394287,0.40200358629226685,0.16853076219558716,0.44820454716682434,0.04600139334797859,0.16847336292266846,0.0030966270714998245,0.16584600508213043,1.9904879331588745,0.0852462649345398,0.06502809375524521,0.08644595742225647,0.009469522163271904,0.02998928539454937,0.006683254614472389,0.0030966270714998245
8,18,perturbed,0.09740562736988068,0.18221284449100494,0.15569287538528442,0.4207097589969635,0.04248739778995514,0.15565162897109985,0.002906166249886155,0.1283467411994934,1.985489010810852,0.07294879108667374,0.05364421010017395,0.09321891516447067,0.012683127075433731,0.016948280856013298,0.0060787624679505825,0.002906166249886155
9,20,clean,0.31962570548057556,0.5712807178497314,0.19705958664417267,0.5712807178497314,0.053964726626873016,0.19698721170425415,0.0041633425280451775,0.16594643890857697,1.978222370147705,0.1342417299747467,0.07007715851068497,0.0629965141415596,0.01531643234193325,0.03493356332182884,0.011154797859489918,0.0041633425280451775
9,20,perturbed,0.19021661579608917,0.358621209859848,0.16285134851932526,0.4679673910140991,0.04597831889986992,0.16280557215213776,0.0030276381876319647,0.15025195479393005,1.9905800819396973,0.08108766376972198,0.056223064661026,0.08885189890861511,0.01416107639670372,0.02267524227499962,0.010056477971374989,0.0030276381876319647
10,21,clean,0.3248538374900818,0.5586531162261963,0.18668195605278015,0.5586531162261963,0.05157575011253357,0.18660849332809448,0.0039057277608662844,0.20324361324310303,1.992030382156372,0.14205120503902435,0.059225715696811676,0.0415053516626358,0.014458153396844864,0.034682746976614,0.011787867173552513,0.0039057277608662844
10,21,perturbed,0.23404237627983093,0.4372178614139557,0.1656453162431717,0.475744366645813,0.04732408747076988,0.16557665169239044,0.003870940301567316,0.1461133360862732,1.9817123413085938,0.09543994069099426,0.05368022993206978,0.07922813296318054,0.015177112072706223,0.02737169899046421,0.013172661885619164,0.003870940301567316
11,22,clean,0.21005260944366455,0.3289572596549988,0.17832161486148834,0.43677231669425964,0.04841204360127449,0.17823752760887146,0.004032767843455076,0.1857217401266098,1.9904156923294067,0.1485697329044342,0.053259167820215225,0.017155397683382034,0.014364718459546566,0.02767162397503853,0.01402672566473484,0.004032767843455076
11,22,perturbed,0.30951711535453796,0.515174925327301,0.19106662273406982,0.5222931504249573,0.0541902557015419,0.19100429117679596,0.0037385106552392244,0.169447124004364,1.9866315126419067,0.13505250215530396,0.058655425906181335,0.06475548446178436,0.016982868313789368,0.02976200543344021,0.016233259811997414,0.0037385106552392244
12,23,clean,0.16932351887226105,0.2930895686149597,0.16524450480937958,0.4105065166950226,0.04540903493762016,0.16519691050052643,0.002683407161384821,0.1958579123020172,2.0083811283111572,0.14107128977775574,0.053080443292856216,0.013180576264858246,0.01216347236186266,0.020303113386034966,0.012028652243316174,0.002683407161384821
12,23,perturbed,0.31761354207992554,0.5319085121154785,0.17682544887065887,0.5319085121154785,0.05088655278086662,0.17675338685512543,0.0035210764035582542,0.16406960785388947,1.9789897203445435,0.13527050614356995,0.05354643985629082,0.047325726598501205,0.015709836035966873,0.02697906643152237,0.013089150190353394,0.0035210764035582542
