pair_id,trajectory_state_index,stage,manipulation_critical,clean_disagreement,perturbed_disagreement,disagreement_delta,perturbed_over_clean_ratio,counterexample,eef_object_distance_m,object_lift_height_m,object_target_xy_distance_m,clean_visible_pixels_mean,perturbed_visible_pixels_mean,visibility_gain_fraction,clean_min_visibility_view,largest_visibility_gain_view,largest_rgb_change_view,clean_max_action_disagreement_view,perturbed_max_action_disagreement_view,largest_matched_action_response_view,rgb_change_fraction_mean,rgb_pixel_fraction_change_over_10_mean
17,30,far_approach,False,0.18856428563594818,0.16880138218402863,-0.019762903451919556,0.8951927541036333,True,0.1816599657887085,0.0,0.11693424394333343,675.6,734.8,0.08762581409117809,yaw_m030,yaw_m030,nominal,yaw_p030,nominal,yaw_m015,0.0038326368144914217,0.01485595703125
18,31,far_approach,False,0.24961012601852417,0.16026489436626434,-0.08934523165225983,0.6420608687740925,True,0.1702063256671597,0.0,0.11693424394333343,659.6,734.2,0.11309884778653734,yaw_m030,yaw_m030,nominal,nominal,nominal,nominal,0.0037786865234375002,0.0146514892578125
19,32,far_approach,False,0.31288498640060425,0.1538093239068985,-0.15907566249370575,0.4915842261282802,True,0.1581210739601439,0.0,0.11693424394333343,648.2,734.8,0.1336007405121875,yaw_m030,yaw_m030,nominal,nominal,yaw_p030,nominal,0.003722127278645833,0.0143951416015625
20,34,far_approach,False,0.37646666169166565,0.30093467235565186,-0.0755319893360138,0.7993660607379993,True,0.1324441853910967,0.0,0.11693424394333343,603.0,728.4,0.2079601990049751,yaw_m030,yaw_m030,nominal,nominal,nominal,yaw_m030,0.0035677083333333333,0.013800048828125
21,35,far_approach,False,0.387053519487381,0.3317285478115082,-0.0553249716758728,0.8570611843314435,True,0.11904635993561145,0.0,0.11693424394333343,572.4,721.8,0.26100628930817615,yaw_m030,yaw_m030,nominal,nominal,nominal,yaw_m030,0.003477675494025735,0.0133636474609375
22,36,close_approach,True,0.33364617824554443,0.3910733759403229,0.05742719769477844,1.1721200524362527,False,0.10558649245941527,0.0,0.11693424394333343,538.8,713.2,0.3236822568671123,yaw_m030,yaw_m030,nominal,nominal,nominal,yaw_p030,0.0033878939759497545,0.01292724609375
23,38,close_approach,True,0.3340100049972534,0.3543131649494171,0.020303159952163696,1.0607860831963123,False,0.07940999259367897,0.0,0.11693424394333343,466.8,693.2,0.48500428449014565,yaw_m030,yaw_m030,nominal,nominal,yaw_m015,yaw_p015,0.0031639906939338234,0.011895751953125
24,39,close_approach,True,0.2635343372821808,0.1845230907201767,-0.07901124656200409,0.7001861412943605,True,0.06767873953620865,0.0,0.11693424394333343,434.2,680.6,0.567480423767849,yaw_m030,nominal,nominal,yaw_m015,nominal,nominal,0.003035098805147059,0.011407470703125
25,40,close_approach,True,0.1518247276544571,0.3164944052696228,0.1646696776151657,2.084603807029003,False,0.05790705727053778,0.0,0.11693424394333343,409.0,675.8,0.6523227383863079,yaw_m030,nominal,nominal,yaw_m015,nominal,yaw_p030,0.002922614602481618,0.0109710693359375
26,41,grasp_contact,True,0.061887286603450775,0.09378673881292343,0.031899452209472656,1.5154443498851664,False,0.05120524269832066,0.0,0.11693424394333343,387.6,680.8,0.7564499484004126,yaw_p030,nominal,nominal,nominal,yaw_p030,yaw_p030,0.002872637580422794,0.0108428955078125
27,43,grasp_contact,True,0.0676075890660286,0.12965810298919678,0.06205051392316818,1.9178039740859103,False,0.04747970458615181,-0.0009637866747580492,0.11690190544141257,345.8,669.6,0.9363794100636207,yaw_p015,nominal,nominal,nominal,yaw_m030,yaw_p030,0.0029539938534007353,0.0105682373046875
28,44,grasp_contact,True,0.06712032854557037,0.14457136392593384,0.07745103538036346,2.1539132340179057,False,0.047171115921079705,-0.0005813544646424695,0.11691986149330438,348.6,675.8,0.9386115892139986,yaw_p030,nominal,nominal,nominal,yaw_m030,yaw_p030,0.002970999923406863,0.0106292724609375
