stage,manipulation_critical,num_snapshots,num_perturbed_greater,fraction_perturbed_greater,clean_mean,perturbed_mean,mean_paired_delta,mean_visibility_gain_fraction,one_sided_sign_test_p
far_approach,False,22,6,0.2727272727272727,0.19523283365097913,0.16670960662039844,-0.028523227030580692,0.04849374158845008,0.9915497303009033
close_approach,True,4,3,0.75,0.27075381204485893,0.3116010092198849,0.04084719717502594,0.5071224258778537,0.3125
grasp_contact,True,8,8,1.0,0.10571156814694405,0.1559147173538804,0.05020314920693636,0.862652363535464,0.00390625
lift_transport,True,10,10,1.0,0.16313372701406478,0.23866461962461472,0.07553089261054993,0.6864716267954967,0.0009765625
place_alignment,False,6,2,0.3333333333333333,0.1287607563038667,0.12042640894651413,-0.008334347357352575,0.6432724748241802,0.890625
