pair_id,trajectory_state_index,stage,counterexample,view_label,clean_distance_to_other_views,perturbed_distance_to_other_views,matched_clean_perturbed_action_response,clean_visible_object_pixels,perturbed_visible_object_pixels,visible_object_pixel_gain,rgb_mean_absolute_change_fraction,rgb_pixel_fraction_change_over_10
37,56,lift_transport,False,yaw_m030,0.15721717476844788,0.2713082432746887,0.11847216,448,732,284,0.0034004959405637253,0.011566162109375
37,56,lift_transport,False,yaw_m015,0.1503506898880005,0.28775086998939514,0.10734886,440,735,295,0.0034880993412990196,0.011749267578125
37,56,lift_transport,False,yaw_p015,0.13902369141578674,0.2633041441440582,0.22432633,437,752,315,0.0033951703239889705,0.0119476318359375
37,56,lift_transport,False,yaw_p030,0.1534881293773651,0.2413754016160965,0.12788966,442,759,317,0.003329348096660539,0.0120697021484375
38,57,lift_transport,False,nominal,0.18020479381084442,0.3115662634372711,0.1951348,473,816,343,0.0037282307942708335,0.01300048828125
38,57,lift_transport,False,yaw_m030,0.1541747748851776,0.2632521092891693,0.13048324,451,740,289,0.0034143784466911763,0.01165771484375
38,57,lift_transport,False,yaw_m015,0.15025492012500763,0.3003634214401245,0.13774495,450,747,297,0.0035143085554534314,0.011962890625
38,57,lift_transport,False,yaw_p015,0.13146448135375977,0.23437528312206268,0.14193341,445,762,317,0.0034247903262867646,0.012115478515625
38,57,lift_transport,False,yaw_p030,0.1526469588279724,0.22486937046051025,0.104891464,450,771,321,0.0033742867264093136,0.0123138427734375
39,58,lift_transport,False,nominal,0.15786013007164001,0.28804251551628113,0.23114939,495,838,343,0.003743788775275735,0.0130767822265625
39,58,lift_transport,False,yaw_m030,0.13361307978630066,0.260741651058197,0.15219423,463,752,289,0.0035089829388786765,0.011962890625
39,58,lift_transport,False,yaw_m015,0.1269507110118866,0.2656870484352112,0.15222628,457,761,304,0.003564034256280637,0.0121917724609375
39,58,lift_transport,False,yaw_p015,0.11388199031352997,0.22154167294502258,0.17594056,456,787,331,0.003449383903952206,0.012298583984375
39,58,lift_transport,False,yaw_p030,0.13560673594474792,0.21634547412395477,0.13061063,458,790,332,0.0033940932329963236,0.0124053955078125
40,59,lift_transport,False,nominal,0.15397092700004578,0.35947665572166443,0.24347046,499,853,354,0.0037766400505514705,0.0134124755859375
40,59,lift_transport,False,yaw_m030,0.12858977913856506,0.325230211019516,0.22664246,472,768,296,0.003555118336397059,0.0121307373046875
40,59,lift_transport,False,yaw_m015,0.12523964047431946,0.3599759638309479,0.22482356,471,773,302,0.003645175111060049,0.012298583984375
40,59,lift_transport,False,yaw_p015,0.11284486949443817,0.2512301504611969,0.14304322,467,798,331,0.003527712354473039,0.0124969482421875
40,59,lift_transport,False,yaw_p030,0.133263498544693,0.2503027319908142,0.12072048,473,811,338,0.003451238893995098,0.012786865234375
41,61,lift_transport,False,nominal,0.15720327198505402,0.3308529257774353,0.21449849,530,895,365,0.003942392386642157,0.0141143798828125
41,61,lift_transport,False,yaw_m030,0.12753760814666748,0.244375541806221,0.36926338,500,796,296,0.003710638308057598,0.0125579833984375
41,61,lift_transport,False,yaw_m015,0.11122041940689087,0.19799450039863586,0.3560712,497,811,314,0.0037808885761335784,0.012939453125
